text,sentiment,model,topic,cleaned
"RT @bencowling88: We're able to report our estimates of the effectiveness of COVID-19 vaccines, led by @martinamc_m with @joshnealon @gmleu…",,cnn-lstm,sinovac,able report estimate effectiveness covid vaccine lead
RT @ASPphysician: 🇭🇰 Hong Kong is struggling for several reasons—the top of which are use of Coronovac/Sinovac and the underuse of a 3rd do…,,cnn-lstm,sinovac,hong kong struggle several reasonsthe top use coronovacsinovac underuse
"@Amine19O @cheng40477362 @shaunrein And here’s your proof. So now I reclaim my freedom and right to express my thought?  Give me a break, would cha?  Thank you

https://t.co/CTcownR7M3",,cnn-lstm,sinovac,here proof reclaim freedom right express thought give break would cha thank
@jimgeraghty Chinese made Sinovac vaccine was only 53% efficient and Sinopharm around 86% efficient. A far cry from UK and US vaccine efficiencies.,,cnn-lstm,sinovac,chinese make sinovac vaccine efficient sinopharm around efficient far cry vaccine efficiency
"@tripperhead @hkumed The data shows some important information.  However, those who died with at least one jab, BioNTech is far superior.  Of those that died in this category, 84% had taken Sinovac.",,cnn-lstm,sinovac,data show important information however die least jab biontech far superior die category take sinovac
"@Birdyword And that is huge, because mMRA vaccines aren't nearly as safe as Sinovac.",,cnn-lstm,sinovac,huge mmra vaccine nearly safe sinovac
Said vaccine will be available on MySejahtera and can be taken as a booster shot for those who have received primer doses of the Sinovac or Cansino Bio vaccines — subject to a three-month eligibility period following the completion of the primer dose. [2],,cnn-lstm,sinovac,say vaccine available mysejahtera take booster shot receive primer dos sinovac cansino bio vaccine subject eligibility period follow completion primer dose
@May_Kek_ @YellowConnasse @business Sinovac; of course....,,cnn-lstm,sinovac,sinovac course
🇭🇰 Hong Kong is struggling for several reasons—the top of which are use of Coronovac/Sinovac and the underuse of a 3rd dose.👇🏽 https://t.co/RtYGgN4Hks,,cnn-lstm,sinovac,hong kong struggle several reasonsthe top use coronovacsinovac underuse dose
"HK's Immunized Who Died of Covid Mainly Got Sinovac: Almost 87% of Hong Kongers who died from Covid after getting at least one dose of vaccine received Sinovac Biotech Ltd.'s shot, Ming Pao reported, ...  

View article... https://t.co/8PhLiX3Ru3",,cnn-lstm,sinovac,immunize die covid mainly get sinovac almost hong kongers die covid get least dose vaccine receive sinovac biotech ltd shot ming pao report view article
RT @hkfp: The fatality rate for Covid-19 patients aged 80 and above who were at least partially vaccinated with any jab was considerably lo…,,cnn-lstm,sinovac,fatality rate covid patient age least partially vaccinate jab considerably
